JOBID PARTITION NAME USER STATE TIME TIME_LIMIT NODES NODELIST(REASON) PRIORITY
6683485 gpu MEGNeuralDecoding praknik PENDING 0:00 10:00 1 (AssocGrpGRES) 18844
6674640 gpu ondemand/sys/dashboard/sys/bc_desktop_basic mstrouse RUNNING 2:57:16 5:00:00 1 gl1003 18838
6674992 gpu ondemand/sys/dashboard/sys/bc_desktop_basic mstrouse RUNNING 2:36:26 3:00:00 1 gl1010 18836
6674681 gpu ondemand/sys/dashboard/sys/bc_desktop_basic mstrouse RUNNING 2:52:39 5:00:00 1 gl1008 18836
6674655 gpu ondemand/sys/dashboard/sys/bc_desktop_basic mstrouse RUNNING 2:55:11 5:00:00 1 gl1008 18836
6684315 gpu ondemand/sys/dashboard/sys/arcts_jupyter_notebook bowenyi RUNNING 15:14 4:00:00 1 gl1022 18585
6673405 gpu interactive xinyumei RUNNING 4:15:20 8:00:00 1 gl1023 18209
6683085 gpu single_job_test yuningc RUNNING 1:00:28 8:00:00 1 gl1002 18207
6589987 gpu ondemand/sys/dashboard/sys/arcts_jupyter_lab chunyuli RUNNING 2-00:53:42 2-22:00:00 1 gl1007 8743
6683796 gpu interactive jonesnat RUNNING 38:20 1:00:00 1 gl1005 8094
6633894 gpu tune_sbi jennili RUNNING 23:56:02 2-00:00:00 1 gl1013 7848
6668205_0 gpu tune_sbi jennili RUNNING 6:28:36 5-00:00:00 1 gl1021 7847
6668205_1 gpu tune_sbi jennili RUNNING 6:28:36 5-00:00:00 1 gl1021 7847
6668205_2 gpu tune_sbi jennili RUNNING 6:28:36 5-00:00:00 1 gl1021 7847
6668205_3 gpu tune_sbi jennili RUNNING 6:28:36 5-00:00:00 1 gl1022 7847
6538851 gpu interactive yueqiwu PENDING 0:00 1:00:00 1 (AssocGrpBillingMinutes) 7772
6674653 gpu gljob1 smallyan RUNNING 2:55:18 4:00:00 1 gl1006 7621
6663736 gpu ondemand/sys/dashboard/sys/arcts_jupyter_notebook bowenbw RUNNING 1:09:31 2-00:00:00 1 gl1022 7423
6634002 gpu ondemand/sys/dashboard/sys/bc_desktop_basic anujt RUNNING 23:31:51 2-02:00:00 1 gl1023 7100
6656893 gpu ondemand/sys/dashboard/sys/bc_vscode_server weiceica RUNNING 16:20:20 1-00:00:00 1 gl1004 7098
6667096 gpu train_resnet_debiasing jjfisch RUNNING 7:38:56 12:00:00 1 gl1003 6858
6668181 gpu ondemand/sys/dashboard/sys/arcts_jupyter_notebook jnwatu RUNNING 6:31:54 10:00:00 1 gl1006 6835
6672116 gpu ondemand/sys/dashboard/sys/bc_desktop_basic edonoho RUNNING 5:01:41 6:00:00 1 gl1007 6731
6673560 gpu ondemand/sys/dashboard/sys/bc_desktop_basic olivaseb RUNNING 3:53:48 20:00:00 1 gl1000 6729
6670722 gpu ondemand/sys/dashboard/sys/arcts_jupyter_notebook alecx PENDING 0:00 2-00:00:00 1 (AssocGrpGRESRunMinutes) 5533
6608587 gpu fbpic_run agrt RUNNING 1-08:01:08 12-00:00:00 1 gl1023 5166
6674603 gpu gta_test lombarde PENDING 0:00 1-04:00:00 1 (Resources) 1385
6674697 gpu opticnerve_classification ethanrs RUNNING 2:50:35 1-04:00:00 1 gl1009 1348
6674702 gpu opticnerve_classification ethanrs RUNNING 2:50:35 1-04:00:00 1 gl1009 1348
6682589 gpu ondemand/sys/dashboard/sys/arcts_jupyter_lab liuwent RUNNING 1:02:34 1-12:00:00 1 gl1002 1347
6631790 gpu_mig40,gpu,spgpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit) 1341
6631789 gpu_mig40,gpu,spgpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA4.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit) 1341
6631786 gpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA2.hh3_7nki zhengwei RUNNING 2:29:35 1-00:00:00 1 gl1010 1323
6631787 gpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA3.jac_7nki zhengwei RUNNING 2:29:35 1-00:00:00 1 gl1011 1312
6631792 gpu_mig40,gpu,spgpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA5.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit) 1297
6631791 gpu_mig40,gpu,spgpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA5.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit) 1297
6631785 gpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA2.jac_7nki zhengwei RUNNING 5:26:14 1-00:00:00 1 gl1000 1280
6631793 gpu_mig40,gpu,spgpu AF2COMP-multi2.2-v4-DeepMSA2.hhb-qMSA5.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit) 1267
6633880 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q4JGI5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633879 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q3JGI5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633878 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q4JGI4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633877 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q3JGI4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633876 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q4JGI3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633875 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q3JGI3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633874 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q4JGI2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633873 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q3JGI2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633872 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q4JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633871 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-q3JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633870 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI5.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633869 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633868 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633867 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI2.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633866 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepJGI.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633865 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633864 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633863 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA5.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633862 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633861 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA4.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633860 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633859 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-qMSA3.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
